scene,exp,variant,op,encoder,psnr,ssim,lpips,score,n_images
HCM0181,exp011,unsharp_r1_p50+jpeg95_444,unsharp_r1_p50,jpeg95_444,19.7983,0.69156,0.1307,0.70368,60
HCM0181,exp011,unsharp_r1_p50+png,unsharp_r1_p50,png,19.7969,0.6915,0.1301,0.70389,60
HCM0181,exp011,unsharp_r1_p100+jpeg75,unsharp_r1_p100,jpeg75,19.1202,0.67008,0.13374,0.69093,60
HCM0181,exp011,unsharp_r1_p100+jpeg90,unsharp_r1_p100,jpeg90,19.1531,0.67276,0.13323,0.69218,60
HCM0181,exp011,unsharp_r1_p100+jpeg95,unsharp_r1_p100,jpeg95,19.1557,0.67298,0.13181,0.69284,60
HCM0181,exp011,unsharp_r1_p100+jpeg98,unsharp_r1_p100,jpeg98,19.1492,0.67244,0.13108,0.69292,60
HCM0181,exp011,unsharp_r1_p100+jpeg95_444,unsharp_r1_p100,jpeg95_444,19.151,0.67262,0.13048,0.69322,60
HCM0181,exp011,unsharp_r1_p100+png,unsharp_r1_p100,png,19.1424,0.67217,0.13053,0.69301,60
HCM0181,exp011,unsharp_r2_p50+jpeg75,unsharp_r2_p50,jpeg75,19.3219,0.68329,0.15569,0.68763,60
HCM0181,exp011,unsharp_r2_p50+jpeg90,unsharp_r2_p50,jpeg90,19.2827,0.68128,0.14694,0.69023,60
HCM0181,exp011,unsharp_r2_p50+jpeg95,unsharp_r2_p50,jpeg95,19.2972,0.68233,0.14844,0.69005,60
HCM0181,exp011,unsharp_r2_p50+jpeg98,unsharp_r2_p50,jpeg98,19.2923,0.68213,0.14749,0.69033,60
HCM0181,exp011,unsharp_r2_p50+jpeg95_444,unsharp_r2_p50,jpeg95_444,19.2926,0.68192,0.14719,0.6904,60
HCM0181,exp011,unsharp_r2_p50+png,unsharp_r2_p50,png,19.2864,0.68183,0.14685,0.69045,60
HCM0181,exp011,unsharp_r2_p100+jpeg75,unsharp_r2_p100,jpeg75,18.1387,0.64439,0.16696,0.66257,60
HCM0181,exp011,unsharp_r2_p100+jpeg90,unsharp_r2_p100,jpeg90,18.122,0.64517,0.16561,0.66322,60
HCM0181,exp011,unsharp_r2_p100+jpeg95,unsharp_r2_p100,jpeg95,18.1081,0.64484,0.16477,0.66335,60
HCM0181,exp011,unsharp_r2_p100+jpeg98,unsharp_r2_p100,jpeg98,18.0988,0.64423,0.16404,0.6634,60
