scene,file,psnr,ssim,lpips,score,gt_sharpness,gt_brightness,width,height
hcm0031,DJI_20241227155849_0236_V.JPG,22.094310786684083,0.6832978513877194,0.2302640974521637,0.6454495811555547,2245.141867271731,117.99191944725312,1320,989
hcm0031,DJI_20241227155850_0237_V.JPG,21.771248168427547,0.6708603477238603,0.24575181305408478,0.6335848681060895,3281.512181720741,120.10390814106688,1320,989
hcm0031,DJI_20241227155906_0247_V.JPG,21.220427710279118,0.6438133433041319,0.22818829119205475,0.6291912527760923,2668.0091053122987,124.79699191102124,1320,989
hcm0031,DJI_20241227155912_0253_V.JPG,22.86000315506728,0.665919994771829,0.24465371668338776,0.6390745306885972,3078.1473448621205,127.1203825412875,1320,989
hcm0031,DJI_20241227155914_0255_V.JPG,22.75483036425421,0.699423030463156,0.22358489036560059,0.6569219351782318,2556.358831157209,123.33559380457763,1320,989
hcm0031,DJI_20241227155915_0256_V.JPG,22.156089640389602,0.6606514432604786,0.23638670146465302,0.6365772902346201,3867.438373851397,122.12503447007997,1320,989
hcm0031,DJI_20241227155927_0264_V.JPG,22.92846340997869,0.6775307853960083,0.22416141629219055,0.6511654495617984,2073.9859853041917,123.72126574133652,1320,989
hcm0031,DJI_20241227155930_0267_V.JPG,21.99093132434551,0.6706294513021223,0.23059672117233276,0.6408957348677766,2319.3874677907966,117.54426877470355,1320,989
hcm0031,DJI_20241227155946_0279_V.JPG,21.266187047078645,0.6230377464334301,0.2477036416530609,0.6154269895512766,4603.310344588242,123.01569997242393,1320,989
hcm0031,DJI_20241227155948_0281_V.JPG,21.641282451391312,0.662894703450622,0.22190043330192566,0.6399559324227643,2799.932792467814,120.48961454790575,1320,989
hcm0031,DJI_20241227155954_0287_V.JPG,22.39298869680194,0.6507395165271871,0.23582962155342102,0.6352479385175993,2474.373863877368,125.53086297760211,1320,989
hcm0031,DJI_20241227160006_0293_V.JPG,21.982587063337554,0.6717956774038903,0.23792532086372375,0.638264097255703,2493.375857734603,123.32579970585532,1320,989
hcm0031,DJI_20241227160018_0304_V.JPG,22.613798857775883,0.6611210480834172,0.24164029955863953,0.6373629877482248,3389.2632045826076,122.46009666942427,1320,989
hcm0031,DJI_20241227160031_0313_V.JPG,22.45736586649897,0.6652091627446501,0.2349148392677307,0.6403410083152966,3551.783472662494,117.40231102736158,1320,989
hcm0031,DJI_20241227160044_0321_V.JPG,21.28347948847837,0.6491673809904719,0.22894275188446045,0.6308739904742278,2837.6099850607566,120.5859262493489,1320,989
hcm0031,DJI_20241227160048_0325_V.JPG,21.473921748524255,0.6505554444684661,0.24120059609413147,0.6275299253940327,2902.280569300967,124.1597075405215,1320,989
HCM0181,DJI_20241229103340_0026_V.JPG,19.988142572558488,0.6519696775083804,0.25131386518478394,0.6149942126139515,3037.289486933085,117.75147302141741,1320,989
HCM0181,DJI_20241229103341_0027_V.JPG,19.960380065008337,0.6859943796382474,0.25500792264938354,0.6235574252217708,3285.40317773897,118.76734764224653,1320,989
HCM0181,DJI_20241229103342_0028_V.JPG,19.613936789125095,0.679159932166692,0.2408800572156906,0.625079577498482,3605.6750367573904,128.73595765542177,1320,989
HCM0181,DJI_20241229103346_0032_V.JPG,20.075660463417904,0.6803530755645171,0.23209568858146667,0.631721610017276,2912.113122690181,126.2732757299997,1320,989
HCM0181,DJI_20241229103355_0037_V.JPG,19.609372819077706,0.6645229679395284,0.23496468365192413,0.6230272538355551,3266.080614561292,114.92630679903178,1320,989
